,código,distrito,código_concelho,concelho,votos_concelho,votos_perdidos_concelho,votos_perdidos_concelho_cc,%_votos_perdidos_concelho,%_votos_perdidos_concelho_cc
259,180000,Viseu,180600,Mangualde,8881,1876,76,0.211237473,0.008557595
260,180000,Viseu,180700,Moimenta da Beira,5009,878,36,0.175284488,0.007187063
261,180000,Viseu,180800,Mortágua,4278,797,30,0.18630201,0.007012623
262,180000,Viseu,180900,Nelas,6418,1576,40,0.245559364,0.006232471
263,180000,Viseu,181000,Oliveira de Frades,5065,1045,56,0.206317868,0.011056269
264,180000,Viseu,181100,Penalva do Castelo,3989,639,27,0.160190524,0.006768614
265,180000,Viseu,181200,Penedono,1363,255,8,0.187087307,0.005869406
266,180000,Viseu,181300,Resende,5315,596,35,0.112135466,0.006585136
267,180000,Viseu,181400,Santa Comba Dão,5273,935,26,0.177318415,0.004930779
268,180000,Viseu,181500,São João da Pesqueira,3295,640,36,0.194233687,0.010925645
269,180000,Viseu,181600,São Pedro do Sul,8101,1497,72,0.184792001,0.008887792
270,180000,Viseu,181700,Sátão,5757,1256,49,0.218169185,0.008511377
271,180000,Viseu,181800,Sernancelhe,3224,482,17,0.149503722,0.005272953
272,180000,Viseu,181900,Tabuaço,2513,467,21,0.185833665,0.008356546
273,180000,Viseu,182000,Tarouca,3663,752,33,0.205296205,0.009009009
274,180000,Viseu,182100,Tondela,13865,2786,92,0.200937613,0.006635413
275,180000,Viseu,182200,Vila Nova de Paiva,2535,439,30,0.173175542,0.01183432
276,180000,Viseu,182300,Viseu,51430,11635,379,0.226229827,0.00736924
277,180000,Viseu,182400,Vouzela,5145,951,38,0.18483965,0.007385811
278,300000,Madeira,310100,Calheta,5730,1022,256,0.178359511,0.044677138
279,300000,Madeira,310200,Câmara de Lobos,14333,3515,876,0.245238261,0.0611177
280,300000,Madeira,310300,Funchal,52649,13659,2881,0.259435127,0.054720887
281,300000,Madeira,310400,Machico,9790,1946,655,0.198774259,0.066905005
282,300000,Madeira,310500,Ponta do Sol,4243,710,197,0.167334433,0.046429413
283,300000,Madeira,310600,Porto Moniz,1629,202,45,0.124002455,0.027624309
284,300000,Madeira,310700,Ribeira Brava,6216,1589,375,0.255630631,0.060328185
285,300000,Madeira,310800,Santa Cruz,20555,8954,5487,0.435611773,0.26694235
286,300000,Madeira,310900,Santana,3523,722,227,0.204938972,0.064433721
287,300000,Madeira,311000,São Vicente,2617,497,88,0.189912113,0.03362629
288,300000,Madeira,320100,Porto Santo,2722,553,73,0.203159442,0.026818516
289,400000,Açores,410100,Vila do Porto,1810,359,33,0.198342541,0.018232044
290,400000,Açores,420100,Lagoa,4066,967,67,0.237825873,0.016478111
291,400000,Açores,420200,Nordeste,1696,285,27,0.168042453,0.015919811
292,400000,Açores,420300,Ponta Delgada,22095,5775,360,0.261371351,0.016293279
293,400000,Açores,420400,Povoação,1963,382,32,0.194600102,0.016301579
294,400000,Açores,420500,Ribeira Grande,7128,1719,103,0.241161616,0.014450056
295,400000,Açores,420600,Vila Franca do Campo,3121,530,27,0.169817366,0.008651073
296,400000,Açores,430100,Angra do Heroísmo,14331,2565,161,0.178982625,0.011234387
297,400000,Açores,430200,Vila da Praia da Vitória,7322,1229,94,0.167850314,0.012838022
298,400000,Açores,440100,Santa Cruz da Graciosa,1722,199,21,0.115563298,0.012195122
299,400000,Açores,450100,Calheta,1395,192,24,0.137634409,0.017204301
300,400000,Açores,450200,Velas,1932,327,36,0.169254658,0.01863354
301,400000,Açores,460100,Lajes do Pico,1846,213,17,0.115384615,0.009209101
302,400000,Açores,460200,Madalena,2287,313,34,0.136860516,0.014866638
303,400000,Açores,460300,São Roque do Pico,1296,197,12,0.152006173,0.009259259
304,400000,Açores,470100,Horta,5592,1017,79,0.181866953,0.014127325
305,400000,Açores,480100,Lajes das Flores,547,111,19,0.202925046,0.034734918
306,400000,Açores,480200,Santa Cruz das Flores,738,160,17,0.216802168,0.02303523
