código,distrito,partido,votos,% votos,mandatos
160000,Viana do Castelo,PNR,133.0,0.1,0.0
160000,Viana do Castelo,PPD/PSD,43414.0,34.17,3.0
160000,Viana do Castelo,PPM,0.0,0.0,0.0
160000,Viana do Castelo,PS,53435.0,42.06,3.0
160000,Viana do Castelo,PTP,0.0,0.0,0.0
160000,Viana do Castelo,R.I.R.,556.0,0.44,0.0
160000,Viana do Castelo,VP,130.0,0.1,0.0
160000,Viana do Castelo,brancos,1654.0,1.3,0.0
160000,Viana do Castelo,nulos,1170.0,0.92,0.0
170000,Vila Real,A,0.0,0.0,0.0
170000,Vila Real,ADN,0.0,0.0,0.0
170000,Vila Real,B.E.,2443.0,2.32,0.0
